salesid;salespersonid;customerid;productid;quantity;discount;totalprice;salesdate;transactionnumber
178;9;6706;64;2;;0;20180508;JG629RLOLC2UDIUE43F9
500;12;20698;346;6;;0;20180508;USHKGBY96JXMRYPW9TH7
615;16;79308;438;21;;0;20180508;JWIRCRZ6N7CET74SLPK0
745;22;33039;205;9;0.1;0;20180508;Q4KYMKIIGS2EKCW4W7AX
819;23;98495;23;25;;0;20180508;1UCELI9S1XZ5SJTGCNR9
836;7;53593;183;14;;0;20180508;OVK90MI9EVKC675P7GL4
936;15;17073;439;5;0.1;0;20180508;KBWA8YA2LT367N83YF8I
1001;1;49474;323;13;;0;20180508;SPJYFGS6PW7B8KV2ISPJ
1014;21;16402;261;5;0.1;0;20180508;15O96KO61IKJAE9F1XWZ
1199;20;13925;277;4;;0;20180508;3XTIGWLXY4EOY32HLNIN
1308;15;93207;407;24;0.2;0;20180508;IJPC4JGR10YSXZMVTPUK
1693;4;79657;346;21;;0;20180508;5TNYDI6SY74MXHDC08PV
1772;5;1493;325;1;;0;20180508;9IF342PAYFR3B9ZC4YQ7
1921;19;31848;274;9;;0;20180508;C5XU81K2ZBAKI87ZLVPP
2014;16;43355;50;11;0.1;0;20180508;BF2YZ39Z8MQN7F9USA0E
2302;23;14964;402;4;;0;20180508;V7GS3JZ20HBUMR7O3IVC
2484;6;16373;15;5;;0;20180508;GZM0Q0ZEZVSS0YZCD449
2601;13;10992;224;3;;0;20180508;IWXU6XY9EDI5PZHVICDT
2664;5;50655;219;13;;0;20180508;ISZY302F3ALL6S0PDKH3
2865;10;16862;361;5;;0;20180508;LCOVUUQSRLFOS3QTR8WK
3107;19;50305;244;13;;0;20180508;010VOMC7YAM1YS00KQ7H
3115;19;13396;287;4;0.1;0;20180508;C8C0Q0V183IBN6UL68CE
3232;20;46762;172;12;;0;20180508;2IUOV98SI8JK94HLBL3U
3430;15;60159;275;16;;0;20180508;A76O4LLON8P15QG6QV7P
3561;4;87542;230;23;;0;20180508;5RRXEN42OOCE9UDNEQHH
3606;16;56858;423;15;;0;20180508;89PC1N9LO3GL3P7HRDK6
3886;13;50104;193;13;;0;20180508;5ZRE6SRFAN95CJX08EJW
4081;8;78759;232;20;0.2;0;20180508;HWO8YMNAM2LVZIGDV9DE
4100;11;11132;268;3;0.1;0;20180508;X94ZWKN0O75JSITJH4IP
4453;11;48021;239;13;0.1;0;20180508;NZK8B438AHEIIGJ5XSUI
4694;11;84662;218;22;;0;20180508;AEAG6YXR8POC1QKNH8AD
4831;4;92438;45;24;;0;20180508;Z91IQMRE2G7CFA2LO6LJ
4851;18;41164;394;11;;0;20180508;FTX5XFPMOPNEU2577RSJ
4964;22;66156;110;17;0.1;0;20180508;ZG6ER5LYQEYNS2VMW6V8
5225;17;10621;320;3;;0;20180508;LPV7FMCGXAP9VCUHL6CG
5275;5;9485;214;3;;0;20180508;ALST55OE88Q91YFS7KLF
5467;9;45818;285;12;;0;20180508;W4WP6TS2MMN23MMGRKM2
5500;10;93592;340;24;;0;20180508;KTM21T080JOY53MNZ4MK
5759;8;7884;101;2;;0;20180508;CYBDADR6AAXVE7XN1VCI
5813;2;36286;159;10;;0;20180508;SIA7QV8YVOBFJW509CA5
5818;20;53159;31;14;;0;20180508;WPIOYKI4UPCZQT2S1B1B
6088;3;70044;63;18;;0;20180508;IRR2GT75E53AH3ELUIMD
6099;21;26536;138;7;;0;20180508;6R7916JK1PQU4QYYD60L
6238;17;57732;177;15;0.1;0;20180508;0O7ANIPVQCTNA6E2IEPP
6462;20;7381;409;2;;0;20180508;ARQ5OF1Z1HGDM9K5H04N
6668;1;18658;192;5;;0;20180508;IELW6DGL8YUENJ6L4VMH
6838;18;36644;342;10;;0;20180508;K6C9FBK3NR33CG83OYON
7052;8;36752;422;10;;0;20180508;JMBPCQ365934Z2MRAW3M
7151;16;68852;337;18;;0;20180508;ZSKLPFHQUAUG55IRUQ96
7177;6;46305;140;12;;0;20180508;BL0DAF5QOOXWQIGR7CER
7232;8;50536;371;13;;0;20180508;WJSU5VGGFNIKF4RO5Y4Z
7380;8;12816;144;4;;0;20180508;E94A6AWSBSNSMY5OB90B
7480;20;11120;233;3;;0;20180508;L2JASNRIH9X1J882C6AX
7600;5;96139;66;25;0.2;0;20180508;7E41I2QHD0N6P8IMYUIR
7601;6;50857;205;13;;0;20180508;L6R3UTVRDFAJ0HDMJ27I
7889;10;20559;188;6;0.1;0;20180508;A5V3UWC48FORONR1SOP5
7921;4;72508;264;19;;0;20180508;XMLX2VVIKFD5XD1O9PIM
8097;13;89815;205;23;;0;20180508;T95O0MQHZW563QIDNPVB
8139;2;77102;147;20;;0;20180508;0LDQO1QNY49GR0W5HL2G
8221;11;66958;7;17;0.2;0;20180508;S69CMVIF056GG99IHDI9
8862;20;78086;101;20;;0;20180508;ARIHR4JBJZ5U40TIF2YP
